dir_name,time_hr,axenic,rep
NG-23864_0_time_point_1_lib377271_6642_1_1,0,TRUE,1
NG-23864_0_time_point_2_lib377272_6642_1_1,0,TRUE,2
NG-23864_0_time_point_3_lib377273_6642_1_1,0,TRUE,3
NG-23864_AX_24h_1_lib377286_6642_2_1,24,TRUE,1
NG-23864_AX_24h_2_lib377287_6642_2_1,24,TRUE,2
NG-23864_AX_24h_3_lib377288_6642_3_1,24,TRUE,3
NG-23864_AX_30min_1_lib377274_6642_1_1,0.5,TRUE,1
NG-23864_AX_30min_2_lib377275_6642_1_1,0.5,TRUE,2
NG-23864_AX_30min_3_lib377276_6642_1_1,0.5,TRUE,3
NG-23864_AX_3h_1_lib377280_6642_2_1,3,TRUE,1
NG-23864_AX_3h_2_lib377281_6642_2_1,3,TRUE,2
NG-23864_AX_3h_3_lib377282_6642_2_1,3,TRUE,3
NG-23864_AX_48h_1_lib377292_6639_1_1,48,TRUE,1
NG-23864_AX_48h_2_lib377293_6639_1_1,48,TRUE,2
NG-23864_AX_48h_3_lib377294_6639_1_1,48,TRUE,3
NG-23864_C_24h_1_lib377289_6642_3_1,24,FALSE,1
NG-23864_C_24h_2_lib377290_6642_3_1,24,FALSE,2
NG-23864_C_24h_3_lib377291_6639_1_1,24,FALSE,3
NG-23864_C_30min_1_lib400471_6811_8_1,0.5,FALSE,1
NG-23864_C_30min_2_lib377278_6642_1_1,0.5,FALSE,2
NG-23864_C_30min_3_lib377279_6642_1_1,0.5,FALSE,3
NG-23864_C_3h_1_lib377283_6642_2_1,3,FALSE,1
NG-23864_C_3h_2_lib377284_6642_2_1,3,FALSE,2
NG-23864_C_3h_3_lib377285_6642_2_1,3,FALSE,3
NG-23864_C_48h_1_lib377295_6639_1_1,48,FALSE,1
NG-23864_C_48h_2_lib377296_6639_1_1,48,FALSE,2
NG-23864_C_48h_3_lib377297_6639_1_1,48,FALSE,3
