dir_name,time_hr,axenic,shaking,rep,cell_line
A7_0h1,0,TRUE,CONTROL,1,A7
A7_0h2,0,TRUE,CONTROL,2,A7
A7_0h3,0,TRUE,CONTROL,3,A7
A7_24h1,24,FALSE,TRUE,1,A7
A7_24h2,24,FALSE,TRUE,2,A7
A7_24h3,24,FALSE,TRUE,3,A7
A7_24hB1,24,FALSE,FALSE,1,A7
A7_24hB2,24,FALSE,FALSE,2,A7
A7_24hB3,24,FALSE,FALSE,3,A7
A7_3h1,3,FALSE,TRUE,1,A7
A7_3h2,3,FALSE,TRUE,2,A7
A7_3h3,3,FALSE,TRUE,3,A7
A7_48hB1,48,FALSE,FALSE,1,A7
A7_48hB2,48,FALSE,FALSE,2,A7
A7_48hB3,48,FALSE,FALSE,3,A7
A8_0h1,0,TRUE,CONTROL,1,A8
A8_0h2,0,TRUE,CONTROL,2,A8
A8_0h3,0,TRUE,CONTROL,3,A8
A8_24h1,24,FALSE,TRUE,1,A8
A8_24h2,24,FALSE,TRUE,2,A8
A8_24h3,24,FALSE,TRUE,3,A8
A8_24hB1,24,FALSE,FALSE,1,A8
A8_24hB2,24,FALSE,FALSE,2,A8
A8_24hB3,24,FALSE,FALSE,3,A8
A8_3h1,3,FALSE,TRUE,1,A8
A8_3h2,3,FALSE,TRUE,2,A8
A8_3h3,3,FALSE,TRUE,3,A8
A8_48hB1,48,FALSE,FALSE,1,A8
A8_48hB2,48,FALSE,FALSE,2,A8
A8_48hB3,48,FALSE,FALSE,3,A8
WT_0h1,0,TRUE,CONTROL,1,WT
WT_0h2,0,TRUE,CONTROL,2,WT
WT_0h3,0,TRUE,CONTROL,3,WT
WT_24h1,24,FALSE,TRUE,1,WT
WT_24h2,24,FALSE,TRUE,2,WT
WT_24h3,24,FALSE,TRUE,3,WT
WT_24hB1,24,FALSE,FALSE,1,WT
WT_24hB2,24,FALSE,FALSE,2,WT
WT_24hB3,24,FALSE,FALSE,3,WT
WT_24hBAX1,24,TRUE,FALSE,1,WT
WT_24hBAX2,24,TRUE,FALSE,2,WT
WT_24hBAX3,24,TRUE,FALSE,3,WT
WT_3h1,3,FALSE,TRUE,1,WT
WT_3h2,3,FALSE,TRUE,2,WT
WT_3h3,3,FALSE,TRUE,3,WT
WT_48hB1,48,FALSE,FALSE,1,WT
WT_48hB2,48,FALSE,FALSE,2,WT
WT_48hB3,48,FALSE,FALSE,3,WT
WT_48hBAX1,48,TRUE,FALSE,1,WT
WT_48hBAX2,48,TRUE,FALSE,2,WT
WT_48hBAX3,48,TRUE,FALSE,3,WT
