TXNAME	GENEID
XM_002176465.1	PHATRDRAFT_31400
XM_002176961.1	PHATRDRAFT_42422
XM_002176466.1	PHATRDRAFT_31402
XM_002176467.1	PHATRDRAFT_42423
XM_002176962.1	PHATRDRAFT_42424
XM_002176468.1	PHATRDRAFT_7430
XM_002176469.1	PHATRDRAFT_42426
XM_002176963.1	PHATRDRAFT_31407
XM_002176964.1	PHATRDRAFT_31408
XM_002176470.1	PHATRDRAFT_31409
XM_002176965.1	PHATRDRAFT_42428
XM_002176471.1	PHATRDRAFT_42429
XM_002176966.1	PHATRDRAFT_42431
XM_002176967.1	PHATRDRAFT_42432
XM_002176968.1	PHATRDRAFT_4937
XM_002176472.1	PHATRDRAFT_42434
XM_002176969.1	PHATRDRAFT_9344
XM_002176473.1	PHATRDRAFT_8866
XM_002176970.1	PHATRDRAFT_42437
XM_002176474.1	PHATRDRAFT_31420
XM_002176971.1	PHATRDRAFT_9252
XM_002176972.1	PHATRDRAFT_42439
XM_002176475.1	PHATRDRAFT_31423
XM_002176973.1	PHATRDRAFT_42440
XM_002176476.1	PHATRDRAFT_42441
XM_002176974.1	PHATRDRAFT_42442
XM_002176477.1	PHATRDRAFT_6387
XM_002176975.1	PHATRDRAFT_42443
XM_002176478.1	PHATRDRAFT_31429
XM_002176976.2	PHATRDRAFT_53929
XM_002176479.1	PHATRDRAFT_31431
XM_002176480.1	PHATRDRAFT_31432
XM_002176977.1	PHATRDRAFT_31433
XM_002176481.1	PHATRDRAFT_31434
XM_002176978.1	PHATRDRAFT_42446
XM_002176482.1	PHATRDRAFT_31436
XM_002176483.1	PHATRDRAFT_31437
XM_002176484.1	PHATRDRAFT_42447
XM_002176485.1	PHATRDRAFT_31440
XM_002176979.1	PHATRDRAFT_17166
XM_002176486.1	PHATRDRAFT_31442
XM_002176487.1	PHATRDRAFT_42451
XM_002176980.1	PHATRDRAFT_42452
XM_002176488.1	PHATRDRAFT_9090
XM_002176489.1	PHATRDRAFT_42454
XM_002176981.1	PHATRDRAFT_31447
XM_002176490.1	PHATRDRAFT_17172
XM_002176982.1	PHATRDRAFT_56467
XM_002176983.1	PHATRDRAFT_42456
XM_002176491.1	PHATRDRAFT_31451
XM_002176984.1	PHATRDRAFT_42457
XM_002176492.1	PHATRDRAFT_31453
XM_002176985.1	PHATRDRAFT_42458
XM_002176493.1	PHATRDRAFT_42459
XM_002176494.1	PHATRDRAFT_8760
XM_002176495.1	PHATRDRAFT_42461
XM_002176986.1	PHATRDRAFT_31458
XM_002176987.1	PHATRDRAFT_53933
XM_002176988.1	PHATRDRAFT_42464
XM_002176989.1	PHATRDRAFT_17184
XM_002176496.1	PHATRDRAFT_42466
XM_002176990.1	PHATRDRAFT_42467
XM_002176991.1	PHATRDRAFT_31465
XM_002176992.1	PHATRDRAFT_42469
XM_002176993.1	PHATRDRAFT_17187
XM_002176994.1	PHATRDRAFT_8934
XM_002176497.1	PHATRDRAFT_31469
XM_002176995.1	PHATRDRAFT_50645
XM_002176996.1	PHATRDRAFT_42473
XM_002176997.1	PHATRDRAFT_42474
XM_002176498.1	PHATRDRAFT_17198
XM_002176998.1	PHATRDRAFT_31474
XM_002176499.1	PHATRDRAFT_42477
XM_002176500.1	PHATRDRAFT_42478
XM_002176999.1	PHATRDRAFT_42479
XM_002176501.1	PHATRDRAFT_42481
XM_002177000.1	PHATRDRAFT_17199
XM_002176502.1	PHATRDRAFT_42483
XM_002176503.1	PHATRDRAFT_42484
XM_002177001.1	PHATRDRAFT_53935
XM_002176504.1	PHATRDRAFT_9462
XM_002177002.1	PHATRDRAFT_42487
XM_002176505.1	PHATRDRAFT_31486
XM_002176506.1	PHATRDRAFT_42488
XM_002177003.1	PHATRDRAFT_9007
XM_002176507.1	PHATRDRAFT_31489
XM_002177004.1	PHATRDRAFT_3311
XM_002176508.1	PHATRDRAFT_9319
XM_002176509.1	PHATRDRAFT_31492
XM_002177005.1	PHATRDRAFT_17215
XM_002177006.1	PHATRDRAFT_31494
XM_002176510.1	PHATRDRAFT_42494
XM_002177007.1	PHATRDRAFT_42495
XM_002176511.1	PHATRDRAFT_42496
XM_002177008.1	PHATRDRAFT_42497
XM_002176512.1	PHATRDRAFT_42498
XM_002176513.1	PHATRDRAFT_42500
XM_002176514.1	PHATRDRAFT_42501
XM_002177009.1	PHATRDRAFT_42502
XM_002177010.1	PHATRDRAFT_42503
XM_002176515.1	PHATRDRAFT_8683
XM_002176516.1	PHATRDRAFT_42504
XM_002177011.1	PHATRDRAFT_42505
XM_002176517.1	PHATRDRAFT_31508
XM_002177012.1	PHATRDRAFT_42506
XM_002176518.1	PHATRDRAFT_42507
XM_002177013.1	PHATRDRAFT_31511
XM_002176519.1	PHATRDRAFT_1598
XM_002177014.1	PHATRDRAFT_42510
XM_002177015.1	PHATRDRAFT_42512
XM_002176520.1	PHATRDRAFT_42513
XM_002177016.1	PHATRDRAFT_42514
XM_002177017.1	PHATRDRAFT_31518
XM_002176521.1	PHATRDRAFT_42515
XM_002176522.1	PHATRDRAFT_53939
XM_002177018.1	PHATRDRAFT_24353
XM_002177019.1	PHATRDRAFT_42518
XM_002177020.1	PHATRDRAFT_56448
XM_002176523.1	PHATRDRAFT_17226
XM_002177021.1	PHATRDRAFT_31525
XM_002176524.1	PHATRDRAFT_42521
XM_002177022.1	PHATRDRAFT_17228
XM_002177023.1	PHATRDRAFT_42523
XM_002177024.1	PHATRDRAFT_31529
